52441 function calls (51748 primitive calls) in 51.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:1707(wm_iconbitmap)
        2    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1804(wm_protocol)
        4    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1831(wm_title)
        1    0.000    0.000    0.000    0.000 __init__.py:1847(Tk)
        1    0.000    0.000    0.111    0.111 __init__.py:1851(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1881(_loadtk)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1918(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:1972(Pack)
      348    0.001    0.000    0.004    0.000 __init__.py:1976(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:2011(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:2055(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:210(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:2102(BaseWidget)
      358    0.001    0.000    0.001    0.000 __init__.py:2104(_setup)
        3    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
      358    0.002    0.000    0.042    0.000 __init__.py:2129(__init__)
      358    0.000    0.000    0.000    0.000 __init__.py:2138(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2145(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2156(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2163(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2191(Button)
      303    0.000    0.000    0.008    0.000 __init__.py:2193(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.001    0.001    0.001    0.001 __init__.py:2236(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:243(load)
        1    0.000    0.000    0.000    0.000 __init__.py:2477(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2506(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:2571(Frame)
       33    0.000    0.000    0.001    0.000 __init__.py:2573(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2589(Label)
       10    0.000    0.000    0.012    0.001 __init__.py:2591(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2611(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2702(Menu)
        9    0.000    0.000    0.004    0.000 __init__.py:2704(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:271(loads)
      149    0.000    0.000    0.007    0.000 __init__.py:2724(add)
        8    0.000    0.000    0.003    0.000 __init__.py:2728(add_cascade)
      108    0.000    0.000    0.004    0.000 __init__.py:2734(add_command)
       33    0.000    0.000    0.000    0.000 __init__.py:2740(add_separator)
        1    0.000    0.000    0.000    0.000 __init__.py:2811(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2816(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2821(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2848(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:2881(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:2925(Text)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:319(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:3282(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3293(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3330(Image)
        7    0.000    0.000    0.000    0.000 __init__.py:3333(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:3355(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:3390(PhotoImage)
        7    0.000    0.000    0.000    0.000 __init__.py:3392(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:341(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:3454(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3469(Spinbox)
        6    0.000    0.000    0.004    0.001 __init__.py:356(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:360(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:3627(LabelFrame)
        3    0.000    0.000    0.017    0.006 __init__.py:3629(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3649(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:379(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
       32    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
